,atu,id,language,level_1,level_2,title
294,410,478,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Sleeping Beauty (Little Briar Rose)
295,410,479,French,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,La Belle au bois dormant
296,410,480,German,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Dornröschen
297,UNKNOWN,483,Italian,UNKNOWN,UNKNOWN,Ucceltrovato
298,UNKNOWN,484,Spanish,UNKNOWN,UNKNOWN,Piñoncito
299,UNKNOWN,485,Danish,UNKNOWN,UNKNOWN,Findefugl
300,UNKNOWN,488,English,UNKNOWN,UNKNOWN,Bird-foundling
301,UNKNOWN,489,French,UNKNOWN,UNKNOWN,Dénichet
302,UNKNOWN,490,German,UNKNOWN,UNKNOWN,Fundevogel
303,900,493,Italian,Realistic Tales,The Obstinate Wife Learns to Obey,Il re Bazza di Tordo
304,900,494,Spanish,Realistic Tales,The Obstinate Wife Learns to Obey,El rey Pico de Tordo
305,900,495,Danish,Realistic Tales,The Obstinate Wife Learns to Obey,Kong Drosselskæg
306,900,498,English,Realistic Tales,The Obstinate Wife Learns to Obey,King Thrushbeard
307,900,500,German,Realistic Tales,The Obstinate Wife Learns to Obey,König Drosselbart
308,709,503,Italian,Tales of Magic,Other Tales of the Supernatural,Biancaneve
309,709,504,Spanish,Tales of Magic,Other Tales of the Supernatural,Blancanieves
310,709,505,Danish,Tales of Magic,Other Tales of the Supernatural,Snehvide
311,709,506,Polish,Tales of Magic,Other Tales of the Supernatural,Królewna Śnieżka
312,709,509,French,Tales of Magic,Other Tales of the Supernatural,Blanche-Neige
313,709,510,German,Tales of Magic,Other Tales of the Supernatural,Schneewittchen
314,569,513,Italian,Tales of Magic,Magic Objects,"Lo zaino, il cappellino e la cornetta"
315,569,514,Spanish,Tales of Magic,Magic Objects,"El morral, el sombrerillo y el cuerno"
316,569,515,Danish,Tales of Magic,Magic Objects,"Ranslen, hatten og hornet"
317,569,516,Polish,Tales of Magic,Magic Objects,"Tornister, kapelusik i rożek"
318,569,518,English,Tales of Magic,Magic Objects,"The knapsack, the hat, and the horn"
319,569,520,German,Tales of Magic,Magic Objects,"Der Ranzen, das Hütlein und das Hörnlein"
320,500,523,Italian,Tales of Magic,Supernatural Helpers,Tremotino
321,500,524,Spanish,Tales of Magic,Supernatural Helpers,El Enano Saltarín (Rumpelstiltskin)
322,500,525,Danish,Tales of Magic,Supernatural Helpers,Rumleskaft
323,500,528,English,Tales of Magic,Supernatural Helpers,Rumpelstiltskin
324,500,530,German,Tales of Magic,Supernatural Helpers,Rumpelstilzchen
325,1119,533,Italian,Tales of the Stupid Ogre,Man Kills (Injures) Ogre,Il diletto Orlando
326,1119,534,Spanish,Tales of the Stupid Ogre,Man Kills (Injures) Ogre,El amadísimo Rolando
327,1119,535,Danish,Tales of the Stupid Ogre,Man Kills (Injures) Ogre,Rolands kæreste
328,1119,538,English,Tales of the Stupid Ogre,Man Kills (Injures) Ogre,Roland
329,1119,540,German,Tales of the Stupid Ogre,Man Kills (Injures) Ogre,Der liebste Roland
330,550,543,Spanish,Tales of Magic,Supernatural Helpers,El pájaro de oro
331,550,544,Danish,Tales of Magic,Supernatural Helpers,Guldfuglen
332,550,545,Polish,Tales of Magic,Supernatural Helpers,Złoty Ptak
333,550,547,English,Tales of Magic,Supernatural Helpers,The golden bird
334,550,548,German,Tales of Magic,Supernatural Helpers,Der goldene Vogel
335,248,551,Italian,Animal Tales,Other Animals and Objects,Il cane e il passero
336,248,552,Spanish,Animal Tales,Other Animals and Objects,El perro y el gorrión
